"Date","Price","Open","High","Low","Vol.","Change %"
"10/10/2019","26,583.75","26,598.94","26,599.87","26,578.03","363.25M","-0.06%"
"10/09/2019","26,598.94","26,817.30","26,817.30","26,489.42","243.01M","-0.79%"
"10/08/2019","26,809.92","26,866.41","26,896.09","26,809.30","185.94M","-0.21%"
"10/07/2019","26,866.41","26,987.45","27,004.48","26,835.58","151.71M","-0.45%"
"10/04/2019","26,987.45","27,085.69","27,089.38","26,974.83","138.88M","-0.36%"
"10/03/2019","27,085.69","27,314.87","27,480.30","26,575.54","151.19M","-0.84%"
"10/02/2019","27,314.87","27,630.56","27,645.40","27,261.25","175.55M","-1.14%"
"09/30/2019","27,630.56","27,675.04","27,693.29","27,113.91","194.80M","-0.16%"
"09/27/2019","27,675.04","27,579.85","27,675.04","27,368.84","187.08M","0.35%"
"09/26/2019","27,579.85","27,283.05","27,579.85","27,281.38","183.46M","1.09%"
"09/25/2019","27,283.05","27,360.45","27,371.59","27,267.16","462.31M","-0.25%"
"09/24/2019","27,352.24","27,635.68","27,635.68","27,352.24","154.03M","-1.08%"
"09/23/2019","27,650.28","27,698.69","27,704.62","27,650.82","109.56M","-0.17%"
"09/20/2019","27,698.69","27,667.31","27,715.27","27,576.27","177.41M","0.19%"
"09/19/2019","27,646.15","27,681.61","27,698.44","27,577.69","245.43M","-0.13%"
"09/18/2019","27,681.61","27,407.04","27,700.07","27,386.36","378.80M","1.00%"
"09/17/2019","27,407.04","27,574.32","27,646.96","27,371.89","196.91M","-0.61%"
"09/16/2019","27,574.32","27,779.00","27,984.08","27,538.33","268.35M","-0.74%"
"09/13/2019","27,779.00","27,426.64","27,779.73","27,426.64","165.24M","1.28%"
"09/12/2019","27,426.64","27,153.53","27,439.54","27,142.88","115.30M","1.01%"
"09/11/2019","27,153.53","27,047.58","27,157.66","27,009.52","211.52M","0.39%"
"09/10/2019","27,047.58","27,089.84","27,148.69","26,977.36","364.22M","-0.16%"
"09/09/2019","27,089.84","27,146.57","27,231.76","27,086.61","290.49M","-0.21%"
"09/06/2019","27,146.57","27,252.09","27,582.15","26,895.56","311.26M","-0.39%"
"09/05/2019","27,252.09","27,319.64","27,319.64","27,273.14","133.34M","-0.25%"
"09/04/2019","27,319.64","27,590.44","27,606.85","27,283.67","250.45M","-0.97%"
"09/03/2019","27,586.79","27,565.09","27,606.28","27,481.18","294.40M","0.08%"
"09/02/2019","27,565.14","27,540.42","27,677.37","27,463.76","111.50M","0.14%"
"08/30/2019","27,525.81","27,425.57","27,602.39","27,326.40","124.74M","0.37%"
"08/29/2019","27,425.57","27,607.02","27,643.50","27,423.36","116.07M","-0.66%"
"08/28/2019","27,607.02","27,602.77","27,626.37","27,546.34","130.37M","0.02%"
"08/27/2019","27,602.77","27,691.85","27,691.85","27,475.64","183.65M","-0.32%"
"08/26/2019","27,691.85","27,800.17","27,851.37","27,601.78","158.27M","-0.39%"
"08/23/2019","27,800.17","27,629.66","27,849.25","27,624.27","339.62M","0.62%"
"08/22/2019","27,629.66","27,352.94","27,650.89","27,352.94","272.60M","1.01%"
"08/21/2019","27,352.94","27,058.03","27,352.94","27,043.28","363.97M","1.09%"
"08/20/2019","27,058.62","27,128.77","27,217.88","26,938.05","209.62M","-0.22%"
"08/19/2019","27,117.22","26,928.80","27,172.42","26,928.35","250.74M","0.71%"
"08/16/2019","26,925.29","27,058.88","27,203.58","26,789.38","258.29M","-0.47%"
"08/15/2019","27,052.93","27,083.11","27,120.09","26,895.43","233.09M","-0.11%"
"08/14/2019","27,083.11","27,303.13","27,307.60","27,083.11","235.12M","-0.82%"
"08/09/2019","27,306.81","27,424.92","27,434.59","27,306.81","220.80M","-0.43%"
"08/08/2019","27,424.92","27,412.13","27,450.92","27,308.64","279.63M","0.05%"
"08/07/2019","27,412.13","27,527.40","27,534.56","27,404.26","128.92M","-0.42%"
"08/06/2019","27,527.40","27,669.38","27,706.47","27,521.00","170.72M","-0.51%"
"08/05/2019","27,669.38","27,630.46","27,674.85","27,584.11","280.69M","0.14%"
"08/02/2019","27,630.46","27,748.46","27,792.77","27,623.58","161.65M","-0.43%"
"08/01/2019","27,748.46","27,718.26","27,748.46","27,615.46","97.36M","0.11%"
"07/31/2019","27,718.26","27,816.89","27,902.51","27,679.02","251.92M","-0.37%"
"07/30/2019","27,820.57","27,950.36","28,028.27","27,814.13","155.18M","-0.46%"
