Date,Price,Open,High,Low,Vol.,Change %,Close
03/29/2023,53603.8,53124.63,53668.06,53124.16,236.06,0.2,63749.556
03/28/2023,53498.27,53750.77,53876.52,53498.27,202.85,-0.47,28487.9081
03/27/2023,53750.77,54780.44,54780.44,53750.77,100.88,-2.08,-59162.8752
03/24/2023,54892.53,54924.08,54944.3,54314.52,137.56,-0.06,51628.6352
03/23/2023,54924.08,54936.11,54951.96,54919.5,117.85,-0.02,53837.3878
03/22/2023,54936.11,54904.68,54959.44,54904.68,134.15,0.06,58198.9608
03/21/2023,54904.68,54886.04,54921.85,54880.02,127.74,0.03,56532.6212
03/20/2023,54888.48,54915.39,54997.28,54856.36,1.17,-0.09,49973.0049
03/17/2023,54935.2,54915.61,54948.43,54913.86,156.97,0.04,57112.2344
03/16/2023,54915.61,55490.2,55490.2,54844.29,137.28,-1.04,-2219.608
03/15/2023,55490.2,55722.9,55722.99,55441.6,181.04,-0.42,32319.282
03/14/2023,55722.9,55788.37,55788.37,55693.39,199.27,-0.12,49093.7656
03/13/2023,55788.37,55794.51,55926.89,55788.37,179.03,-0.01,55236.5649
03/10/2023,55794.51,55822.14,55827.87,55779.25,275.92,-0.05,53031.033
03/09/2023,55822.14,55801.14,55830.28,55629.24,311.47,0.04,58033.1856
03/08/2023,55801.14,55603.94,55820.42,55596.67,152.74,0.35,75065.319
03/07/2023,55603.94,55605.57,55623.29,55522.41,159.46,0,55605.57
03/06/2023,55605.57,55529.21,55645.51,55515.15,123.54,0.14,63303.2994
03/03/2023,55529.21,55670.08,55710.62,55529.21,184.24,-0.25,41752.56
03/02/2023,55670.24,55510.1,55670.24,55281.94,205.66,0.29,71608.029
03/01/2023,55508.61,55806.26,55985.47,55385.9,232.58,-0.53,26228.9422
02/28/2023,55806.26,55328.42,55819.41,55322.01,237.09,0.86,102910.8612
02/27/2023,55328.42,54949.21,55334.96,54941.76,149.77,0.69,92864.1649
02/24/2023,54949.21,54811.59,54955.12,54787.29,119.09,0.55,84957.9645
02/23/2023,54646.38,54315.53,54646.38,54315.42,142.04,0.61,87448.0033
02/22/2023,54315.53,54189.31,54315.53,54182.36,129.85,0.23,66652.8513
02/21/2023,54189.31,54224.35,54224.54,54182.61,129.11,-0.06,50970.889
02/20/2023,54224.35,53804.46,54229.61,53796.91,154.61,0.78,95771.9388
02/17/2023,53804.46,54520.2,54553.73,53804.46,172.9,-1.32,-17446.464
02/16/2023,54521.49,54507.66,54547.2,54506.43,125.85,0.03,56142.8898
02/15/2023,54507.66,54496.31,54513.44,54475.44,134.43,0.02,55586.2362
02/14/2023,54496.31,54364.67,54542.1,54338.99,177.9,0.24,67412.1908
02/13/2023,54364.67,54327.3,54378.64,54327.3,140.64,0.07,58130.211
02/10/2023,54327.3,54359.9,54383.13,54301.52,175.66,-0.06,51098.306
02/09/2023,54359.9,54427.05,54429.93,54358.2,225.38,-0.12,47895.804
02/08/2023,54427.05,54299.57,54441.81,54285.38,151.58,0.23,66788.4711
02/07/2023,54299.76,54367.86,54369.44,54236.37,200.04,-0.13,47300.0382
02/06/2023,54367.74,54213.09,54367.74,54206.4,191.64,0.29,69934.8861
02/03/2023,54213.09,53998.12,54213.09,53994.01,267.99,0.4,75597.368
02/02/2023,53998.12,53499.31,53998.12,53483.4,2.87,0.93,103253.6683
02/01/2023,53499.68,53238.67,53499.68,53234.31,200.37,0.49,79325.6183
01/31/2023,53238.67,53157.49,53299.54,53157.49,250.19,0.15,61131.1135
01/30/2023,53157.83,52649.24,53167.11,52639.28,201.36,0.95,102666.018
01/27/2023,52657.88,52752.96,52753.28,52213.7,171.11,-0.18,43257.4272
01/26/2023,52752.96,52599.65,52752.96,52599.65,139.68,0.29,67853.5485
01/25/2023,52599.65,52612.55,52636.48,52477.59,119.79,-0.02,51560.299
01/24/2023,52612.55,52657.69,52691.04,52533.14,182.39,-0.09,47918.4979
01/23/2023,52657.69,52594.68,52657.69,52585.64,143.73,0.12,58906.0416
01/20/2023,52594.68,52626.42,52642.34,52586.87,443.75,-0.06,49468.8348
01/19/2023,52626.42,52615.51,52631.8,52603.89,129.03,0.02,53667.8202
01/18/2023,52615.51,52701.31,52718.7,52558.62,217.95,-0.16,44269.1004
01/17/2023,52701.31,52343.41,52737.72,52329.29,228.49,0.67,87413.4947
01/16/2023,52348.82,52512.48,52519.61,52348.82,220.65,-0.31,36233.6112
01/13/2023,52512.48,52048.85,52512.48,52048.85,216.92,0.89,98372.3265
01/12/2023,52048.85,51729.87,52495.11,51696.17,211.69,0.62,83802.3894
01/11/2023,51729.87,51446.6,51746.32,51369.76,281.8,0.55,79742.23
01/10/2023,51446.6,51693.08,51712.97,51220.23,345.49,-0.49,26363.4708
01/09/2023,51700.36,51222.34,51841.05,51207.13,229.22,0.93,98859.1162
01/06/2023,51222.34,50868.52,51222.34,50830.51,195.71,0.7,86476.484
01/05/2023,50868.52,51657.56,51785.05,50842.95,138.72,-1.53,-27378.5068
01/04/2023,51657.56,51598.35,51668.24,51198.49,265.73,0.12,57790.152
01/03/2023,51595.66,51251.06,51595.66,51241.36,129.17,0.67,85589.2702
12/30/2022,51251.06,50294.6,51346.08,50247.57,890.15,1.89,145351.394
12/29/2022,50300,49934.6,50313.18,49934.6,297.94,0.73,86386.858
12/28/2022,49934.6,49706.09,49934.6,49695.81,498.73,0.46,72570.8914
12/23/2022,49706.09,49499.43,49737.1,49493.53,140.32,0.42,70289.1906
12/22/2022,49499.43,49475.43,49525.32,49398.37,132.51,0.05,51949.2015
12/21/2022,49475.43,49416.51,49492.97,49416.51,411.15,0.12,55346.4912
12/20/2022,49416.18,49414.96,49446.36,49382.43,100.06,0,49414.96
12/19/2022,49414.96,49316.2,49414.96,49316.2,76.74,0.2,59179.44
12/16/2022,49316.29,49233.02,49340.28,49222.58,103.66,0.17,57602.6334
12/15/2022,49233.02,48988.04,49249.96,48979.1,222.74,0.5,73482.06
12/14/2022,48988.04,48853.54,49045.36,48853.54,88.02,0.28,62532.5312
12/13/2022,48853.54,48899.08,49101.57,48820.32,162.87,-0.09,44498.1628
12/12/2022,48899.08,48881.93,48901.96,48853.33,236.58,0.04,50837.2072
12/09/2022,48881.93,48365.14,48881.93,48365.14,100.82,1.07,100115.8398
12/08/2022,48365.14,48426.49,48572.14,48183.06,148.16,-0.13,42131.0463
12/07/2022,48426.49,48366.69,48426.49,48348.67,146.21,0.12,54170.6928
12/06/2022,48366.69,48270.23,48399.33,48269.48,184.62,0.2,57924.276
12/05/2022,48270.23,48154.65,48373.03,48154.65,185.11,0.24,59711.766
12/02/2022,48154.65,47656.64,48198.48,47656.64,159.81,1.04,97219.5456
12/01/2022,47656.64,47660.04,47769.38,47537.87,172.89,-0.01,47183.4396
11/30/2022,47660.04,47322.97,47662.71,47318.9,107.02,0.71,80922.2787
11/29/2022,47322.97,47436.45,47450.71,47299.16,120.94,-0.24,36051.702
11/28/2022,47436.45,47554.34,47576,47389.79,279.28,-0.25,35665.755
11/25/2022,47554.34,46604.94,47562.29,46424.6,98.98,2.04,141679.0176
11/24/2022,46604.94,46232.6,46604.94,46186.63,138.6,0.81,83681.006
11/23/2022,46232.37,44934.73,46233.18,44899.66,185.59,2.9,175245.447
11/22/2022,44929.33,44662.96,44976.21,44662.96,126.08,0.51,67441.0696
11/21/2022,44701.84,44492.73,44701.84,44492.73,159.56,0.47,65404.3131
11/18/2022,44492.73,44011.22,44492.73,44001.7,146.68,1.09,91983.4498
11/17/2022,44011.22,44046.94,44052.82,43969.57,97.7,-0.09,40082.7154
11/16/2022,44050.44,43808.25,44050.44,43808.25,159.43,0.55,67902.7875
11/15/2022,43808.25,43818.12,43857.81,43788.18,103.42,-0.02,42941.7576
11/14/2022,43818.12,43956.76,43956.76,43770.82,187.08,-0.34,29011.4616
11/11/2022,43968.75,43943.46,43994.65,43924.32,209.71,0.06,46580.0676
11/10/2022,43942.82,43477.48,44287.55,43393.2,404.99,1.07,89998.3836
11/09/2022,43477.48,43461.6,44071.41,43448.58,133.4,0.04,45200.064
11/08/2022,43461.6,44269.43,44293.1,43439.72,249.91,-1.82,-36300.9326
11/07/2022,44269.43,44269.18,44272.07,44217.38,103.26,0,44269.18
11/04/2022,44269.18,44236.7,44275.32,44171.5,356.73,0.07,47333.269
11/03/2022,44236.7,44283.02,44286.16,44209.17,215.11,-0.1,39854.718
11/02/2022,44283.02,43745.73,44283.02,43626.57,155.41,1.23,97552.9779
11/01/2022,43745.73,43835.94,43968.82,43657.95,172.87,-0.21,34630.3926
10/31/2022,43839.08,43910.65,43912.82,43650.2,160.91,-0.17,36445.8395
10/28/2022,43912.64,44625.18,44625.18,43671.26,122.79,-1.6,-26775.108
10/27/2022,44625.18,44859.78,44883.39,44615.15,150.97,-0.52,21532.6944
10/26/2022,44859.78,44788.14,44887.55,44767.49,93.51,0.16,51954.2424
10/25/2022,44788.14,44461.63,44824.37,44266.04,159.21,0.73,76918.6199
10/24/2022,44461.63,44396.73,44491.61,44368.24,72.32,0.15,51056.2395
10/21/2022,44396.73,44332.21,44403.55,44332.21,95.08,0.15,50982.0415
10/20/2022,44332.21,44318.15,44341.65,44294.21,119.22,0.03,45647.6945
10/19/2022,44318.15,45366.32,45505.22,44302.24,165.35,-2.31,-59429.8792
10/18/2022,45366.32,46365.95,46365.95,44937.92,420.16,-2.16,-53784.502
10/17/2022,46365.95,47569.04,47588.29,46343.39,137.88,-2.53,-72780.6312
10/14/2022,47569.04,47524.38,47579.14,47428.96,124.41,0.09,51801.5742
10/13/2022,47524.38,47531.84,47550.47,47486.8,86.54,-0.02,46581.2032
10/12/2022,47531.84,47565.92,47572.78,47529.93,155.18,-0.07,44236.3056
10/11/2022,47565.92,47351.43,47664.66,47195.25,125.65,0.45,68659.5735
10/07/2022,47351.43,47260.89,47351.62,47257.3,137.28,0.19,56240.4591
10/06/2022,47260.89,48836.7,48890.97,47238.35,140.66,-3.23,-108905.841
10/05/2022,48836.7,48879.74,48919.32,48818.2,135.52,-0.09,44480.5634
10/04/2022,48879.74,49035.07,49038.76,48865.47,173.46,-0.29,34814.8997
09/30/2022,49024.16,48967.56,49024.16,48945.43,356.73,0.12,54843.6672
09/29/2022,48964.83,49171.7,49218.17,48947.91,220.78,-0.42,28519.586
09/28/2022,49171.7,49161.45,49258.73,49119.51,101.57,0.02,50144.679
09/27/2022,49161.45,49189.32,49223.31,49154.5,206.2,-0.12,43286.6016
09/26/2022,49218.35,49053.91,49226.12,49053.91,119.28,0.39,68184.9349
09/23/2022,49026.62,49190.34,49309.63,48994.15,169.18,-0.33,32957.5278
09/22/2022,49190.34,49421.91,49424.82,49164.75,126.74,-0.47,26193.6123
