Date, Open, High, Low, Close, Volume
7/5/2020,30.45,30.45,28.5,28.9,6657900
6/5/2020,30.15,30.95,30,30.45,13225200
5/5/2020,29.7,30.4,29.5,29.95,8285100
4/5/2020,29,29.75,28.5,29.5,15931500
04/30/20,29,29,27.85,28.5,9712700
04/29/20,28,29.4,28,29,2936400
04/28/20,28,28,27.6,27.7,5842300
04/27/20,27.9,28,27.45,27.55,6878900
04/24/20,28.5,28.5,27.2,27.55,9768500
04/23/20,29.45,29.45,28,28.2,5791100
04/22/20,28,29.5,27.55,27.95,10969800
04/21/20,29,29,28,28.4,19408900
04/20/20,28.5,28.75,28,28.5,7590700
04/17/20,27.45,28.5,27.4,28,13712200
04/16/20,27.8,27.8,27,27.4,2906700
04/15/20,28,28,26.6,27.45,9881000
04/14/20,26.35,28,26.3,27.05,10513800
9/4/2020,28,28,26,26.35,10166000
8/4/2020,26.8,26.8,26,26.2,13279600
7/4/2020,27.5,27.5,26.7,26.8,15545200
6/4/2020,28.45,28.5,26.9,27.55,14371000
3/4/2020,28.95,29.5,27.9,28.75,16762100
2/4/2020,26.95,29,26.95,28.25,9152600
1/4/2020,26.95,27,26.7,26.9,9821800
03/31/20,27.5,27.5,26.05,26.45,16084600
03/30/20,26.25,26.5,26,26,4439600
03/27/20,25,26.25,25,25.35,14913700
03/26/20,25,25.05,24.6,24.65,13626300
03/25/20,24.5,24.8,24,24.5,9737200
03/24/20,25,25,24.35,24.45,7508200
03/23/20,25.5,25.5,24,24.6,14714000
03/20/20,26,26,25.35,25.4,12077400
03/19/20,25.8,26,25.35,25.4,13759300
03/18/20,25.5,25.8,25.3,25.35,20856301
03/17/20,24.55,26.5,24.55,25.1,11561900
03/16/20,24.95,25,24,24.45,44232801
03/13/20,26.05,26.5,23.5,24.35,29945801
12/3/2020,27.5,27.5,25.35,25.75,38181102
11/3/2020,27.8,28.5,27.7,27.85,12535900
10/3/2020,27.35,28.6,27.15,27.75,21310199
9/3/2020,29.5,29.5,26.55,27.35,28108801
6/3/2020,29.5,29.6,29.4,29.5,11035900
5/3/2020,29.45,29.85,29,29.55,545600
4/3/2020,28.9,29.45,28.9,29.1,20095199
3/3/2020,28.5,29,28.5,28.85,24017699
2/3/2020,27.8,29.5,27.75,28.1,13306000
02/28/20,28,28.2,27.75,27.9,13289800
02/27/20,29,29,28.05,28.1,19384301
02/26/20,29.35,29.5,27.95,28.2,5608400
02/25/20,29.8,29.8,29.4,29.75,7892300
02/24/20,29.95,30,29,29.9,4927000
02/21/20,29.95,30.1,29.85,29.9,10657300
02/20/20,30,30.2,29.9,29.95,14572700
02/19/20,30.5,30.5,29.8,29.95,13930100
02/18/20,31,31,30,30.5,3515900
02/17/20,31,31.5,30.85,30.9,16785199
02/14/20,31.5,31.5,30.75,31,16785199
02/13/20,32,32.05,31.05,31.5,13315500
12/2/2020,32.7,32.7,31.75,32.5,12104100
10/2/2020,32.8,32.85,31.55,32.65,2363900
7/2/2020,33,33,32.8,32.9,18309100
6/2/2020,31.05,33.3,31.05,32.8,9321100
5/2/2020,31.25,32.1,31,31.55,3136700
4/2/2020,31.3,31.5,30.8,30.95,10786500
3/2/2020,30.5,31,30.3,30.8,1097900
01/31/20,30.3,30.7,30.15,30.45,3359100
01/30/20,30.7,30.8,30.05,30.6,4690800
01/29/20,30,30.5,29.9,30.05,13109900
01/28/20,30.5,30.5,29.75,29.95,1572800
01/27/20,31.5,31.5,30,30.7,3957800
01/24/20,32,32,31.2,31.3,7263900
01/23/20,31.45,32,31.3,31.55,11800200
01/22/20,31.55,31.75,31.3,31.5,8157000
01/21/20,31.6,32.3,31.3,31.55,1298900
01/20/20,32,32.3,31.2,31.55,2710900
01/17/20,32,32,31,31.5,8722400
01/16/20,32,32.3,31.5,32,12749500
01/15/20,32.85,32.85,31.5,32,8751100
01/14/20,32,32.85,32,32.75,5840900
01/13/20,33,33,32.5,32.7,10670300
10/1/2020,32.8,33.4,32.5,32.8,4937700
9/1/2020,32,33.5,31.7,32.8,4160400
8/1/2020,31.2,32.5,31.2,31.85,3474800
7/1/2020,31.55,31.7,31.3,31.55,7754500
6/1/2020,31.7,31.7,31.05,31.5,1901800
3/1/2020,31.6,31.8,31,31.55,905000
2/1/2020,31.6,31.6,31,31.3,349300
12/31/19,31.45,31.6,31,31.5,6325600
12/30/19,31.5,31.5,30,31.35,5297600
12/27/19,31.5,32,31,31.45,938900
12/24/19,31.5,32,30.3,31.7,3069600
12/23/19,30.5,32,30,31.65,7618600
12/20/19,30.6,31.5,30.6,31.3,36521699
12/19/19,30.5,31.1,30.2,30.9,4872100
12/18/19,30,30.5,29.55,30.2,5334700
12/17/19,30,30.1,29.5,30,20994900
12/16/19,30.25,30.3,29.8,30.05,4849500
12/13/19,30.15,30.5,30,30.3,14786600
11/12/2019,30.1,30.6,30,30.25,3516300
10/12/2019,30,30.25,29.8,30.15,15072100
9/12/2019,29.75,30.25,29.6,30.1,8824300
6/12/2019,29.75,30.25,29.45,30,5925100
5/12/2019,29.5,30,29.4,29.45,13172100
4/12/2019,29.05,29.5,29,29.4,5233400
3/12/2019,29.45,29.75,29.15,29.5,5820700
2/12/2019,29.25,29.8,29,29.4,3394400
11/29/19,29,29.95,29,29.25,14903000
11/28/19,28.9,29.1,28.45,28.95,3807600
11/27/19,28.75,29,28.7,28.9,4305900
11/26/19,28.5,29,28.5,28.85,2350000
11/25/19,28.1,29,28,28.9,3344500
11/22/19,28.45,29,28.1,28.45,13372900
11/21/19,28.95,28.95,28.25,28.5,10719600
11/20/19,29.5,29.5,28.55,28.6,1199500
11/19/19,28.7,29,28.25,28.55,2837400
