Date, Open, High, Low, Close, Volume
3/3/2020,198,200,196,198,29600
2/3/2020,195,195,190,195,68900
02/28/20,194.25,200,190,194.25,293600
02/27/20,200,201,198,200,254100
02/26/20,201.5,202.5,200,201.5,5900
02/25/20,203.25,206,202.75,203.25,47900
02/24/20,206,206,206,206,188800
02/21/20,205.75,208,202.5,205.75,2700
02/20/20,207,210,201,207,14100
02/19/20,210,212,209.75,210,27600
02/18/20,212,215,212,212,258700
02/17/20,215,215,215,215,25000
02/14/20,218.75,219,218,218.75,3100
02/13/20,219.25,219.5,218,219.25,57800
12/2/2020,219.75,221.5,212,219.75,866500
10/2/2020,220.5,221.75,220,220.5,67400
7/2/2020,221.75,222.25,220,221.75,1133700
6/2/2020,219.75,222,217.5,219.75,173500
5/2/2020,217.5,218,215,217.5,24300
4/2/2020,214.5,215,212.75,214.5,36800
3/2/2020,212.75,215,212.5,212.75,4600
01/31/20,214.25,215,212.5,214.25,245400
01/30/20,215,215,210,215,403100
01/29/20,212,212.5,211,212,56900
01/28/20,214.75,215,212,214.75,122100
01/27/20,215.5,219,204,215.5,373900
01/24/20,215,216,215,215,53700
01/23/20,212.75,215,210,212.75,431300
01/22/20,210.75,212,210,210.75,231600
01/21/20,210,212,210,210,33300
01/20/20,210,212,208,210,1155500
01/17/20,210,212,205,210,755000
01/16/20,205.5,206,205,205.5,4900
01/15/20,205,205,205,205,258600
01/14/20,205,205.5,205,205,341900
01/13/20,205.75,209.75,205,205.75,60500
10/1/2020,205,210,201,205,513500
9/1/2020,205,205,199,205,180600
8/1/2020,198,198,197.25,198,2200
7/1/2020,197.75,212,196,197.75,43300
6/1/2020,197.25,197.5,197,197.25,5600
3/1/2020,197.5,197.5,196,197.5,12800
2/1/2020,196,196,196,196,1400
12/31/19,198.5,200,195,198.5,39200
12/30/19,196,200,195,196,204400
12/27/19,196,205,196,196,220700
12/24/19,197.75,198,197.25,197.75,1100
12/23/19,195.5,196,195,195.5,53000
12/20/19,195.5,198,193.75,195.5,240900
12/19/19,193,193.75,193,193,177100
12/18/19,193,193,193,193,9200
12/17/19,192.25,196,190,192.25,630400
12/16/19,192.25,194,192,192.25,510900
12/13/19,192.5,196.75,192,192.5,82100
11/12/2019,193,195,193,193,424500
10/12/2019,193.25,196,192.25,193.25,868600
9/12/2019,192.25,197,192,192.25,38600
6/12/2019,197,199,197,197,297500
5/12/2019,197,198,196,197,580100
4/12/2019,196,196,196,196,600
3/12/2019,196.75,200,195,196.75,208400
2/12/2019,197.5,199,197,197.5,1600
11/29/19,196,200,195,196,84700
11/28/19,196,200,195,196,29300
11/27/19,192,197,192,192,612600
11/26/19,197,200,192,197,523600
11/25/19,200,200,200,200,22400
11/22/19,201.75,202,200,201.75,170100
11/21/19,202,202,201,202,547900
11/20/19,202,202,201.75,202,225500
11/19/19,202,202,201,202,139300
11/18/19,201,205,201,201,183600
11/15/19,201,202.25,200,201,54400
11/14/19,200,202.25,200,200,6400
11/13/19,200,200,196.5,200,53700
12/11/2019,200,205,200,200,367000
11/11/2019,205,210,200,205,4200
8/11/2019,200,200,200,200,123300
7/11/2019,205,205.25,205,205,198300
6/11/2019,205,207,205,205,212800
5/11/2019,205,205,204.5,205,61800
4/11/2019,204.75,205,200.5,204.75,12400
1/11/2019,209.75,210,209,209.75,140900
10/31/19,201,210,197,201,36100
10/30/19,199.75,200,195,199.75,880000
10/29/19,195,195,194,195,79900
10/28/19,194,196,194,194,231900
10/25/19,195,198,195,195,507200
10/24/19,192.5,193,191,192.5,3000
10/23/19,193,195,191,193,210300
10/22/19,191,195,191,191,242300
10/18/19,192,195,192,192,333100
10/17/19,193,193,191,193,306400
10/16/19,191.75,195,191,191.75,32900
10/14/19,193,193,192.25,193,526200
11/10/2019,192.25,196,190.5,192.25,82800
9/10/2019,192.25,193,191,192.25,20600
8/10/2019,191,192,190,191,155200
7/10/2019,191,199.75,190,191,8400
4/10/2019,195,199,195,195,10900
3/10/2019,194.25,199.75,192,194.25,106000
2/10/2019,193.5,200,192.5,193.5,194300
1/10/2019,192.5,194,190.25,192.5,11600
09/30/19,193.75,194.75,192,193.75,31700
09/27/19,194,195,192.25,194,270800
09/26/19,192.5,197,192,192.5,211600
09/25/19,197,199,197,197,160400
09/24/19,197.75,200,196,197.75,276100
09/23/19,198.75,199,197,198.75,40700
09/20/19,199,200,197,199,380500
09/19/19,199.5,205,199,199.5,441400
09/18/19,200.75,201,200,200.75,6000
09/17/19,199,200,199,199,332000
09/16/19,200,200,199,200,360200
09/13/19,199.25,201,198,199.25,376300
12/9/2019,198,199.75,197.75,198,100000
11/9/2019,197.75,198,197,197.75,62200
10/9/2019,197.75,198,197.25,197.75,1220500
9/9/2019,197,197,197,197,98000
6/9/2019,195.25,201,195,195.25,10600
5/9/2019,193.5,195,193,193.5,332700
4/9/2019,196,201,195,196,57700
3/9/2019,194.75,195.25,193,194.75,1328400
2/9/2019,195,196,195,195,10300
08/30/19,196,197,195,196,131600
08/29/19,195.75,196,195.75,195.75,7000
08/28/19,199.75,200,195,199.75,9400
08/27/19,199.75,200,195.25,199.75,961200
08/26/19,195.75,201,195,195.75,20800
08/23/19,200,201,200,200,21100
08/22/19,200.75,201,200,200.75,357400
08/21/19,200.25,209,200,200.25,224000
08/20/19,200,200.5,200,200,42100
08/19/19,200,200.75,200,200,176300
08/16/19,200.5,204,200,200.5,15700
08/15/19,201.75,203.75,200,201.75,160000
08/14/19,203.5,203.75,203,203.5,2300
08/13/19,203.75,204.25,200,203.75,151800
9/8/2019,204,205.25,202,204,34500
8/8/2019,202.5,203.75,202.5,202.5,15100
7/8/2019,202.25,204.75,202,202.25,107200
6/8/2019,202,205,202,202,385400
5/8/2019,203.5,203.75,200,203.5,259400
2/8/2019,204,207.75,203,204,35700
1/8/2019,203.25,207.75,201,203.25,206500
07/31/19,204,208,201,204,461300
07/30/19,207.75,208,204,207.75,52200
07/29/19,207.75,208,201,207.75,870000
07/26/19,203.25,210,200,203.25,397600
07/25/19,200.5,204,196,200.5,1505900
07/24/19,196.25,198,193,196.25,3300
07/23/19,191,199,191,191,5800
07/22/19,196.5,200,190.25,196.5,61800
07/19/19,198.75,200,197,198.75,133100
07/18/19,198,200,198,198,244600
07/17/19,199.75,200,197,199.75,86300
07/16/19,197.75,200,197,197.75,9600
07/15/19,199.5,200,198,199.5,7700
12/7/2019,199.75,202,199.75,199.75,257100
11/7/2019,199.75,200,199,199.75,568600
10/7/2019,199.75,200,197,199.75,95600
9/7/2019,197,197.25,195,197,209100
8/7/2019,197,197.25,195,197,70700
5/7/2019,195.25,197,195,195.25,403000
4/7/2019,195,199,192,195,322300
3/7/2019,197,198,195,197,50800
2/7/2019,199,199,199,199,27900
1/7/2019,199.25,200,197,199.25,51900
06/28/19,199.75,200,197,199.75,19900
06/27/19,199.75,200,199,199.75,785500
06/26/19,200,204,200,200,54100
06/25/19,200.5,204,197.5,200.5,108400
06/24/19,199.75,204.75,195.5,199.75,482200
06/21/19,195,195,195,195,15700
06/20/19,200.5,205,190,200.5,74400
06/19/19,204,205,204,204,206100
06/18/19,204.25,205,204,204.25,11000
06/17/19,204.25,205,203.25,204.25,186300
06/14/19,205,206.5,205,205,505800
06/13/19,205.5,206,205,205.5,12900
12/6/2019,204.75,206,203.25,204.75,132300
11/6/2019,203.25,204,203.25,203.25,96200
10/6/2019,204.75,205,203,204.75,77100
7/6/2019,205.25,206,205,205.25,300
6/6/2019,204.5,207,203.75,204.5,23900
4/6/2019,203.25,205,203,203.25,14400
3/6/2019,203.75,205,201,203.75,4200
05/31/19,202.75,205,200,202.75,269600
05/30/19,201.75,203,200,201.75,756300
05/29/19,203.25,204,203,203.25,147300
05/28/19,204,205,202,204,1056000
05/27/19,203.25,205,200,203.25,600
05/24/19,203.75,205.25,200,203.75,37800
05/23/19,205,206,204.75,205,121100
05/22/19,206.75,207,206,206.75,764400
05/21/19,207,210,206,207,602200
05/20/19,206.75,207,205,206.75,349600
05/17/19,207,207,206.75,207,130800
05/16/19,206.75,207,205,206.75,484600
05/15/19,205,205,205,205,125900
05/14/19,205,206,205,205,229300
05/13/19,204.75,205,200,204.75,22600
10/5/2019,208.75,210,205.25,208.75,800
9/5/2019,209.75,210,209,209.75,268600
8/5/2019,213,215,210.25,213,186100
7/5/2019,215.25,220,215,215.25,112700
6/5/2019,214.5,220,205,214.5,92300
3/5/2019,221.25,224.75,220,221.25,175800
2/5/2019,224.25,224.5,221.75,224.25,13500
04/30/19,221.75,224.75,220,221.75,917400
04/29/19,220,220.25,220,220,25100
04/26/19,220,221,220,220,400300
04/25/19,220,221,220,220,784600
04/24/19,220,220,220,220,30700
04/23/19,219,220,214.5,219,127900
04/18/19,214.25,215,210,214.25,468500
04/17/19,213.75,214.25,211,213.75,90100
04/16/19,210.25,210.25,210.25,210.25,6900
04/15/19,211.5,215,210,211.5,2800
12/4/2019,209.75,210,208,209.75,84100
11/4/2019,208,208.25,208,208,7800
10/4/2019,208,208,208,208,882100
9/4/2019,208.25,210,205,208.25,395500
8/4/2019,208,210,206,208,38100
5/4/2019,208,209,208,208,30200
4/4/2019,208,210,208,208,191700
3/4/2019,210.25,212,208,210.25,807300
2/4/2019,209.75,210,206,209.75,488700
1/4/2019,209.25,210,206.5,209.25,52000
03/29/19,206.25,210,206,206.25,248500
03/28/19,206.25,210,205,206.25,2000
03/27/19,207.25,210,205,207.25,161700
03/26/19,205.25,207,205,205.25,6400
03/25/19,206,207,206,206,27100
03/22/19,205.75,207,205.75,205.75,151400
03/21/19,205.25,205.25,205,205.25,6300
03/20/19,205,205,205,205,535200
03/19/19,201.5,207,192.25,201.5,245800
03/18/19,204.75,205,204,204.75,156100
03/15/19,200,204,200,200,341200
03/14/19,205,209,204,205,228700
03/13/19,204,206,204,204,132700
12/3/2019,205,205,204,205,453800
11/3/2019,205.75,209.75,205.25,205.75,2800
8/3/2019,209.75,210,208,209.75,43400
7/3/2019,209.75,210.25,206,209.75,789600
6/3/2019,203.5,215,200,203.5,537900
5/3/2019,195.75,198,195.25,195.75,28500
4/3/2019,195.75,196,195.5,195.75,13800
1/3/2019,194,194,194,194,103300
02/28/19,192.25,195,185,192.25,605200
02/27/19,190.5,190.5,190.5,190.5,400
02/26/19,194.5,195,193.5,194.5,5100
02/25/19,195,200,195,195,31100
02/22/19,198.75,199.5,195,198.75,600
02/21/19,195,199,195,195,208200
02/20/19,195,202,195,195,1011500
02/19/19,200.75,206,200,200.75,366100
02/18/19,205,219,205,205,229400
02/15/19,210.25,222.75,210,210.25,1135600
02/14/19,219.75,220,215,219.75,184600
02/13/19,220,223,220,220,29000
12/2/2019,222.75,225,222,222.75,127100
11/2/2019,222.25,223,219,222.25,109500
8/2/2019,220,220.25,219,220,563200
7/2/2019,214,219.75,212,214,151300
6/2/2019,212,212,212,212,7700
5/2/2019,212.5,215,210,212.5,37900
4/2/2019,211,220,210,211,57400
1/2/2019,210.75,215,210,210.75,11700
01/31/19,213,215,210,213,707300
01/30/19,211.75,215,210,211.75,420700
01/29/19,210.25,212,200,210.25,703400
01/28/19,198.25,200,190,198.25,169100
01/25/19,186.5,190,180,186.5,194500
01/24/19,173,180,168,173,32900
01/23/19,171,171,171,171,400
01/22/19,169.5,170,168,169.5,55200
01/21/19,168,168,168,168,2200
01/18/19,168,169.75,165,168,777400
01/17/19,169.5,170,168,169.5,174800
01/16/19,169,170,169,169,266600
01/15/19,169.75,171,168,169.75,602300
01/14/19,165,170,163,165,316500
11/1/2019,163,170,163,163,718500
10/1/2019,164.75,170,163,164.75,104300
9/1/2019,165,170,165,165,904100
8/1/2019,169.5,170,168,169.5,1600
7/1/2019,170,170,170,170,6400
4/1/2019,169.25,173,168,169.25,39100
3/1/2019,173.25,173.25,173,173.25,10200
2/1/2019,173.5,175,173,173.5,7800
12/31/18,174.75,180,172.5,174.75,898900
12/28/18,180,180,180,180,5600
12/27/18,171.75,172,170,171.75,232200
12/24/18,172.5,173,172,172.5,300
12/21/18,168,180,165,168,335000
